Adventure	de	Abenteuer
Adventure	es	Aventura
Adventure	fr	aventure
Adventure	it	Avventura
Adventure	ko	모험
Adventure	pt	Aventura
Adventure	ru	Приключение
Adventure	zhs	历险
Adventure	zht	歷險
Advisor	de	Berater
Advisor	es	Consejero
Advisor	fr	conseiller
Advisor	it	Consigliere
Advisor	ja	アドバイザー
Advisor	ko	참모
Advisor	pt	Conselheiro
Advisor	ru	Советник
Advisor	zhs	参谋
Advisor	zht	參謀
Aetherborn	de	Äthergeborener
Aetherborn	es	etergénito
Aetherborn	fr	éthérien
Aetherborn	it	Eteride
Aetherborn	ja	霊基体
Aetherborn	ko	에테르붙이
Aetherborn	pt	Etergênito
Aetherborn	ru	Эфирид
Aetherborn	zhs	乙太种
Aetherborn	zht	乙太種
Ajani	de	Ajani
Ajani	es	Ajani
Ajani	fr	Ajani
Ajani	it	Ajani
Ajani	ja	アジャニ
Ajani	ko	아자니
Ajani	pt	Ajani
Ajani	ru	Аджани
Ajani	zhs	阿耶尼
Ajani	zht	阿耶尼
Alara	de	Alara
Alara	es	Alara
Alara	fr	Alara
Alara	it	Alara
Alara	ja	アラーラ
Alara	pt	Alara
Alara	zhs	阿拉若
Alien	de	Alien
Alien	fr	extraterrestre
Alien	ja	エイリアン
Ally	de	Verbündeter
Ally	es	aliado
Ally	fr	allié
Ally	it	Alleato
Ally	ja	同盟者
Ally	ko	동맹
Ally	pt	Aliado
Ally	ru	Союзник
Ally	zhs	伙伴
Ally	zht	伙伴
Aminatou	de	Aminatou
Aminatou	es	Aminatou
Aminatou	fr	Aminatou
Aminatou	it	Aminatou
Aminatou	ja	アミナトゥ
Aminatou	pt	Aminatou
Aminatou	zhs	阿米娜图
Amonkhet	de	Amonkhet
Amonkhet	es	Amonkhet
Amonkhet	fr	Amonkhet
Amonkhet	it	Amonkhet
Amonkhet	ja	アモンケット
Amonkhet	pt	Amonkhet
Amonkhet	zhs	阿芒凯
Angel	de	Engel
Angel	es	Ángel
Angel	fr	ange
Angel	it	Angelo
Angel	ja	天使
Angel	ko	천사
Angel	pt	Anjo
Angel	ru	Ангел
Angel	zhs	天使
